[2026-07-07 12:47:00] === Run started: fu_cli_fedmoon_canada_backbone_oral_340800 ===
[2026-07-07 12:47:00] Forking from source FL run: fl_fedmoon_oral_330530
[2026-07-07 12:47:00] Forgetting: Canada_Dataset (index 1 of ['Spain_Dataset', 'Canada_Dataset', 'India_Dataset'])
[2026-07-07 12:47:00] Phase-2 mechanism: FUSED-CLI (Algorithm 1), algorithm=fedmoon
[2026-07-07 12:47:00] Loaded source checkpoint (read-only) from checkpoints/fl/fl_fedmoon_oral_330530/best.pt
[2026-07-07 12:47:00] Built 3 hospital train loaders in order ['Spain_Dataset', 'Canada_Dataset', 'India_Dataset'], sizes=[398, 1635, 505]
[2026-07-07 12:47:00] Running FUSED-CLI unlearning (algorithm=fedmoon)...
[2026-07-07 12:47:00] Running Critical Layer Identification (one federated round, remember clients only)...
[2026-07-07 12:48:03] Selected 4 critical layers: ['layer4.0.conv2.weight', 'layer4.1.conv1.weight', 'layer4.0.conv1.weight', 'layer4.1.conv2.weight']
[2026-07-07 12:51:12] [FUSED-CLI:fedmoon] Round=0, avg_r_acc=0.6043, avg_f_acc=0.7966, adapter_density=413080/8257536
[2026-07-07 12:54:26] [FUSED-CLI:fedmoon] Round=1, avg_r_acc=0.6175, avg_f_acc=0.7997, adapter_density=413080/8257536
[2026-07-07 12:57:40] [FUSED-CLI:fedmoon] Round=2, avg_r_acc=0.6056, avg_f_acc=0.8005, adapter_density=413080/8257536
[2026-07-07 13:00:47] [FUSED-CLI:fedmoon] Round=3, avg_r_acc=0.6056, avg_f_acc=0.7990, adapter_density=413080/8257536
[2026-07-07 13:03:56] [FUSED-CLI:fedmoon] Round=4, avg_r_acc=0.6020, avg_f_acc=0.8096, adapter_density=413080/8257536
[2026-07-07 13:07:04] [FUSED-CLI:fedmoon] Round=5, avg_r_acc=0.6038, avg_f_acc=0.8127, adapter_density=413080/8257536
[2026-07-07 13:10:16] [FUSED-CLI:fedmoon] Round=6, avg_r_acc=0.5848, avg_f_acc=0.8199, adapter_density=413080/8257536
[2026-07-07 13:13:07] [FUSED-CLI:fedmoon] Round=7, avg_r_acc=0.5884, avg_f_acc=0.8176, adapter_density=413080/8257536
[2026-07-07 13:16:16] [FUSED-CLI:fedmoon] Round=8, avg_r_acc=0.5925, avg_f_acc=0.8176, adapter_density=413080/8257536
[2026-07-07 13:19:25] [FUSED-CLI:fedmoon] Round=9, avg_r_acc=0.5969, avg_f_acc=0.8165, adapter_density=413080/8257536
[2026-07-07 13:22:32] [FUSED-CLI:fedmoon] Round=10, avg_r_acc=0.6048, avg_f_acc=0.8165, adapter_density=413080/8257536
[2026-07-07 13:25:40] [FUSED-CLI:fedmoon] Round=11, avg_r_acc=0.6063, avg_f_acc=0.8196, adapter_density=413080/8257536
[2026-07-07 13:28:50] [FUSED-CLI:fedmoon] Round=12, avg_r_acc=0.6063, avg_f_acc=0.8173, adapter_density=413080/8257536
[2026-07-07 13:32:00] [FUSED-CLI:fedmoon] Round=13, avg_r_acc=0.6063, avg_f_acc=0.8225, adapter_density=413080/8257536
[2026-07-07 13:35:10] [FUSED-CLI:fedmoon] Round=14, avg_r_acc=0.6086, avg_f_acc=0.8214, adapter_density=413080/8257536
[2026-07-07 13:38:18] [FUSED-CLI:fedmoon] Round=15, avg_r_acc=0.6148, avg_f_acc=0.8233, adapter_density=413080/8257536
[2026-07-07 13:41:27] [FUSED-CLI:fedmoon] Round=16, avg_r_acc=0.6184, avg_f_acc=0.8222, adapter_density=413080/8257536
[2026-07-07 13:44:34] [FUSED-CLI:fedmoon] Round=17, avg_r_acc=0.6220, avg_f_acc=0.8210, adapter_density=413080/8257536
[2026-07-07 13:47:35] [FUSED-CLI:fedmoon] Round=18, avg_r_acc=0.6238, avg_f_acc=0.8199, adapter_density=413080/8257536
