[2026-07-07 12:47:00] === Run started: fu_cli_fedmoon_spain_backbone_oral_340806 ===
[2026-07-07 12:47:00] Forking from source FL run: fl_fedmoon_oral_330530
[2026-07-07 12:47:00] Forgetting: Spain_Dataset (index 0 of ['Spain_Dataset', 'Canada_Dataset', 'India_Dataset'])
[2026-07-07 12:47:00] Phase-2 mechanism: FUSED-CLI (Algorithm 1), algorithm=fedmoon
[2026-07-07 12:47:03] Loaded source checkpoint (read-only) from checkpoints/fl/fl_fedmoon_oral_330530/best.pt
[2026-07-07 12:47:03] Built 3 hospital train loaders in order ['Spain_Dataset', 'Canada_Dataset', 'India_Dataset'], sizes=[398, 1635, 505]
[2026-07-07 12:47:03] Running FUSED-CLI unlearning (algorithm=fedmoon)...
[2026-07-07 12:47:03] Running Critical Layer Identification (one federated round, remember clients only)...
[2026-07-07 12:47:31] Selected 4 critical layers: ['layer4.1.conv2.weight', 'layer4.0.conv2.weight', 'layer4.1.conv1.weight', 'layer4.0.conv1.weight']
[2026-07-07 12:49:07] [FUSED-CLI:fedmoon] Round=0, avg_r_acc=0.6208, avg_f_acc=0.7537, adapter_density=413080/8257536
[2026-07-07 12:50:36] [FUSED-CLI:fedmoon] Round=1, avg_r_acc=0.6202, avg_f_acc=0.7625, adapter_density=413080/8257536
[2026-07-07 12:52:07] [FUSED-CLI:fedmoon] Round=2, avg_r_acc=0.6202, avg_f_acc=0.7625, adapter_density=413080/8257536
[2026-07-07 12:53:36] [FUSED-CLI:fedmoon] Round=3, avg_r_acc=0.6214, avg_f_acc=0.7625, adapter_density=413080/8257536
[2026-07-07 12:55:06] [FUSED-CLI:fedmoon] Round=4, avg_r_acc=0.6209, avg_f_acc=0.7800, adapter_density=413080/8257536
[2026-07-07 12:56:34] [FUSED-CLI:fedmoon] Round=5, avg_r_acc=0.6235, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 12:58:05] [FUSED-CLI:fedmoon] Round=6, avg_r_acc=0.6247, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 12:59:36] [FUSED-CLI:fedmoon] Round=7, avg_r_acc=0.6236, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:01:06] [FUSED-CLI:fedmoon] Round=8, avg_r_acc=0.6299, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:02:36] [FUSED-CLI:fedmoon] Round=9, avg_r_acc=0.6305, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:04:04] [FUSED-CLI:fedmoon] Round=10, avg_r_acc=0.6115, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:05:36] [FUSED-CLI:fedmoon] Round=11, avg_r_acc=0.6115, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:07:06] [FUSED-CLI:fedmoon] Round=12, avg_r_acc=0.6104, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:08:36] [FUSED-CLI:fedmoon] Round=13, avg_r_acc=0.6098, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:10:06] [FUSED-CLI:fedmoon] Round=14, avg_r_acc=0.6044, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:11:37] [FUSED-CLI:fedmoon] Round=15, avg_r_acc=0.6077, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:13:05] [FUSED-CLI:fedmoon] Round=16, avg_r_acc=0.6104, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:14:34] [FUSED-CLI:fedmoon] Round=17, avg_r_acc=0.6130, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:16:03] [FUSED-CLI:fedmoon] Round=18, avg_r_acc=0.6125, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:17:33] [FUSED-CLI:fedmoon] Round=19, avg_r_acc=0.6125, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:19:03] [FUSED-CLI:fedmoon] Round=20, avg_r_acc=0.6125, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:20:32] [FUSED-CLI:fedmoon] Round=21, avg_r_acc=0.6169, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:22:02] [FUSED-CLI:fedmoon] Round=22, avg_r_acc=0.6169, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:23:33] [FUSED-CLI:fedmoon] Round=23, avg_r_acc=0.6187, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:25:01] [FUSED-CLI:fedmoon] Round=24, avg_r_acc=0.6187, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:26:31] [FUSED-CLI:fedmoon] Round=25, avg_r_acc=0.5979, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:28:01] [FUSED-CLI:fedmoon] Round=26, avg_r_acc=0.5973, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:29:32] [FUSED-CLI:fedmoon] Round=27, avg_r_acc=0.5973, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:31:02] [FUSED-CLI:fedmoon] Round=28, avg_r_acc=0.6009, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:32:31] [FUSED-CLI:fedmoon] Round=29, avg_r_acc=0.6035, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:34:02] [FUSED-CLI:fedmoon] Round=30, avg_r_acc=0.6035, avg_f_acc=0.7888, adapter_density=413080/8257536
[2026-07-07 13:35:32] [FUSED-CLI:fedmoon] Round=31, avg_r_acc=0.5982, avg_f_acc=0.7975, adapter_density=413080/8257536
[2026-07-07 13:37:01] [FUSED-CLI:fedmoon] Round=32, avg_r_acc=0.6002, avg_f_acc=0.7975, adapter_density=413080/8257536
[2026-07-07 13:38:31] [FUSED-CLI:fedmoon] Round=33, avg_r_acc=0.6002, avg_f_acc=0.7975, adapter_density=413080/8257536
[2026-07-07 13:40:00] [FUSED-CLI:fedmoon] Round=34, avg_r_acc=0.6020, avg_f_acc=0.7975, adapter_density=413080/8257536
[2026-07-07 13:41:33] [FUSED-CLI:fedmoon] Round=35, avg_r_acc=0.6009, avg_f_acc=0.7975, adapter_density=413080/8257536
