rank,bn_layer,associated_parameter,channels,selected_score,normalized_domain_score,sym_kl,normalized_l2,mean_shift,log_variance_shift
1,layer1.0.bn1,layer1.0.conv1.weight,64,0.2088424084581148,1.0,0.2088424084581148,0.4465248910679066,1.265107186260703,0.26646634652471834
2,layer1.1.bn1,layer1.1.conv1.weight,64,0.1802563421177689,0.8433248931731733,0.1802563421177689,0.3527144153613503,1.3382817655927228,0.21687363848646063
3,layer1.1.bn2,layer1.1.conv2.weight,64,0.15066410510501857,0.6811351452023676,0.15066410510501857,0.43955796527707636,0.4445627955021614,0.4644829336015322
4,layer4.0.downsample.1,layer4.0.downsample.0.weight,512,0.14089205797222476,0.6275763060735863,0.14089205797222476,0.4162269542688898,0.2291018033172476,0.45016735507605454
5,layer1.0.bn2,layer1.0.conv2.weight,64,0.11870018628429709,0.5059466342608528,0.11870018628429709,0.30334425277029287,0.4768970024664234,0.37250221911417225
6,layer2.0.downsample.1,layer2.0.downsample.0.weight,128,0.10843969694886174,0.44971073095099584,0.10843969694886174,0.2576079767121729,0.23794061652635493,0.27206654293571864
7,layer3.1.bn1,layer3.1.conv1.weight,256,0.10581388061291243,0.4353191021747818,0.10581388061291243,0.33085181064217994,1.272367175821359,0.44150406155490207
8,layer4.0.bn2,layer4.0.conv2.weight,512,0.10251358377575609,0.41723076664216896,0.10251358377575609,0.34877550166948806,0.9934577724642024,0.5115727470588145
9,layer2.0.bn1,layer2.0.conv1.weight,128,0.09672701435582227,0.3855156166374479,0.09672701435582227,0.24482026507121502,1.1098396239538644,0.28064190178988163
10,layer2.1.bn1,layer2.1.conv1.weight,128,0.0890317913473917,0.3433394783556836,0.0890317913473917,0.2671776184401815,0.7102185353717133,0.38948061019173025
11,layer3.1.bn2,layer3.1.conv2.weight,256,0.08767779398451075,0.3359184614537111,0.08767779398451075,0.30705325336052136,0.692046400212135,0.49623379680147794
12,bn1,conv1.weight,64,0.08057507490424544,0.2969897310221689,0.08057507490424544,0.27233313055533137,0.591367544770625,0.4917808102599334
13,layer4.0.bn1,layer4.0.conv1.weight,512,0.07989647885118924,0.29327046766361486,0.07989647885118924,0.22972709443650785,0.8508669360163003,0.3376990713663512
14,layer3.0.bn2,layer3.0.conv2.weight,256,0.058921154878519746,0.178308475865987,0.058921154878519746,0.13660710619256783,0.5037349000755311,0.23627822483289773
15,layer3.0.bn1,layer3.0.conv1.weight,256,0.057845223855105696,0.17241149073957335,0.057845223855105696,0.13807244579711828,0.65978972115795,0.20025045082331047
16,layer2.0.bn2,layer2.0.conv2.weight,128,0.05040619943158173,0.13163953098944817,0.05040619943158173,0.11132719491347827,0.302298798787995,0.1782905255085151
17,layer3.0.downsample.1,layer3.0.downsample.0.weight,256,0.04849621212231883,0.12117123282789614,0.04849621212231883,0.12700221899803923,0.11041718152026116,0.23234126124501783
18,layer2.1.bn2,layer2.1.conv2.weight,128,0.03920452341312575,0.07024515213592672,0.03920452341312575,0.11170586171675267,0.17998681662031485,0.2405392230862985
19,layer4.1.bn1,layer4.1.conv1.weight,512,0.035043217473428714,0.04743778000998448,0.035043217473428714,0.12231116024963667,1.2178022658659489,0.31810204993999314
20,layer4.1.bn2,layer4.1.conv2.weight,512,0.026387984655218442,0.0,0.026387984655218442,0.09319826890818686,1.080528723061953,0.28707351236770295
