rank,bn_layer,associated_parameter,channels,selected_score,normalized_domain_score,sym_kl,normalized_l2,mean_shift,log_variance_shift
1,layer4.0.downsample.1,layer4.0.downsample.0.weight,512,0.09848561973279163,1.0,0.09848561973279163,0.2707969957635066,0.16487401888139747,0.4315988293825182
2,layer3.1.bn2,layer3.1.conv2.weight,256,0.09207656961022026,0.929999811144004,0.09207656961022026,0.2629556948304121,0.8153936816212328,0.4628411784578658
3,layer1.0.bn1,layer1.0.conv1.weight,64,0.09006178591148935,0.907994172754869,0.09006178591148935,0.21197326105609565,0.7175441791633332,0.30903114843779517
4,layer1.0.bn2,layer1.0.conv2.weight,64,0.0828679923373154,0.8294229493828178,0.0828679923373154,0.23722746377717818,0.3433343443880317,0.40043058445807234
5,layer3.0.bn1,layer3.0.conv1.weight,256,0.08122157622554879,0.8114406530120448,0.08122157622554879,0.17943762748361508,0.7840036164394876,0.21957162972527364
6,layer3.0.downsample.1,layer3.0.downsample.0.weight,256,0.0803602590203652,0.802033273466762,0.0803602590203652,0.18161824767696247,0.14738541218967047,0.2461535241295518
7,bn1,conv1.weight,64,0.06490831595098646,0.6332658411074333,0.06490831595098646,0.21102586912103452,0.6893011469721554,0.4115923506966683
8,layer3.0.bn2,layer3.0.conv2.weight,256,0.061462699235587843,0.5956325231912815,0.061462699235587843,0.1512202989658858,0.531556032183546,0.20833314506252035
9,layer2.0.downsample.1,layer2.0.downsample.0.weight,128,0.05798493884941226,0.5576481293774723,0.05798493884941226,0.13645107317715433,0.17090399561095607,0.21860060872386475
10,layer4.0.bn2,layer4.0.conv2.weight,512,0.05763967966446277,0.5538771792852557,0.05763967966446277,0.1677258650958206,0.8343520155571139,0.35496538153653057
11,layer3.1.bn1,layer3.1.conv1.weight,256,0.05570491095518775,0.532745471395353,0.05570491095518775,0.1428818952057186,0.9429156638117682,0.28510036253626864
12,layer4.0.bn1,layer4.0.conv1.weight,512,0.05420083300822126,0.5163178045292447,0.05420083300822126,0.14236541660208069,0.6666779596420142,0.2853848663202033
13,layer2.0.bn1,layer2.0.conv1.weight,128,0.05283446705154095,0.5013942396975108,0.05283446705154095,0.13230239861193482,0.8233453288994179,0.24518078772475832
14,layer1.1.bn2,layer1.1.conv2.weight,64,0.04956134854535724,0.4656449618483635,0.04956134854535724,0.13648390862230897,0.23385899155783835,0.2890463365687911
15,layer1.1.bn1,layer1.1.conv1.weight,64,0.046911924413399884,0.43670772683697,0.046911924413399884,0.1181006369057388,0.6089549807921504,0.20316683736914135
16,layer2.1.bn2,layer2.1.conv2.weight,128,0.04472085658272301,0.4127766982117573,0.04472085658272301,0.11031561284117311,0.218516943302274,0.20095950710162402
17,layer2.1.bn1,layer2.1.conv1.weight,128,0.04378694833639899,0.4025764731602133,0.04378694833639899,0.1193158755805802,0.48291472055363105,0.27198811903828857
18,layer2.0.bn2,layer2.0.conv2.weight,128,0.035927448429187984,0.31673434877412376,0.035927448429187984,0.08302314347635376,0.2527731701568615,0.1514697121302596
19,layer4.1.bn1,layer4.1.conv1.weight,512,0.022656392791167417,0.17178675385546255,0.022656392791167417,0.07247311475066463,1.1102422640911622,0.2420223618973399
20,layer4.1.bn2,layer4.1.conv2.weight,512,0.006928007856114753,0.0,0.006928007856114753,0.023894973175862963,0.7397750209333472,0.14284027224752466
