rank,bn_layer,associated_parameter,channels,selected_score,normalized_domain_score,sym_kl,normalized_l2,mean_shift,log_variance_shift
1,layer1.0.bn1,layer1.0.conv1.weight,64,0.14805265516070015,1.0,0.14805265516070015,0.32073975079184497,0.9914311511757364,0.2729888189863493
2,layer1.1.bn1,layer1.1.conv1.weight,64,0.1247945418574492,0.8222334835333751,0.1247945418574492,0.26304481030708804,1.1013653043318012,0.271792663689456
3,layer1.1.bn2,layer1.1.conv2.weight,64,0.11782139777561354,0.7689363172462662,0.11782139777561354,0.3101922137180214,0.3536737062971033,0.4574006265389251
4,layer1.0.bn2,layer1.0.conv2.weight,64,0.10912609600229767,0.7024763475266944,0.10912609600229767,0.26792869122085505,0.46948628877610377,0.34448419178218
5,layer4.0.downsample.1,layer4.0.downsample.0.weight,512,0.086355855817554,0.5284387450791884,0.086355855817554,0.21733384461002875,0.17098539822492995,0.35163917199445854
6,layer3.0.bn1,layer3.0.conv1.weight,256,0.08600943847069122,0.5257910064517048,0.08600943847069122,0.18480010172794303,0.791499549679137,0.23148432598612267
7,layer2.0.downsample.1,layer2.0.downsample.0.weight,128,0.07864887859299363,0.4695327420068664,0.07864887859299363,0.1930230158152153,0.18691455930108636,0.30887039083699497
8,layer3.0.downsample.1,layer3.0.downsample.0.weight,256,0.07621063970664166,0.4508967835570609,0.07621063970664166,0.1780482922335181,0.142257755626273,0.25775167134294763
9,layer3.0.bn2,layer3.0.conv2.weight,256,0.07038450221879843,0.40636642324082933,0.07038450221879843,0.1571850162339344,0.5812709809315184,0.2064272672707667
10,layer2.1.bn1,layer2.1.conv1.weight,128,0.06978533641208096,0.40178687644538086,0.06978533641208096,0.1821895991375575,0.6360487470205307,0.32809715404528017
11,layer3.1.bn1,layer3.1.conv1.weight,256,0.06884471751470471,0.39459753384785035,0.06884471751470471,0.1977768783628323,0.886627234982575,0.3874338925839472
12,layer2.1.bn2,layer2.1.conv2.weight,128,0.06805303044934356,0.38854650770028815,0.06805303044934356,0.1773017517382421,0.23147532149278569,0.32335610643182094
13,layer3.1.bn2,layer3.1.conv2.weight,256,0.06372446452824586,0.35546239313532335,0.06372446452824586,0.19583321832220987,0.6286211047637884,0.3924894031652184
14,layer2.0.bn1,layer2.0.conv1.weight,128,0.059475122817087306,0.32298380540897514,0.059475122817087306,0.1575724979575925,0.7527950386555786,0.3133235390976283
15,layer4.0.bn1,layer4.0.conv1.weight,512,0.05166040999071958,0.26325435709915607,0.05166040999071958,0.13449139472448574,0.6480226770643428,0.27775173538773434
16,bn1,conv1.weight,64,0.047828078010143285,0.2339630600258262,0.047828078010143285,0.15583567819652097,0.4575464033620598,0.36159492403291255
17,layer4.0.bn2,layer4.0.conv2.weight,512,0.04189910328224465,0.18864669365272604,0.04189910328224465,0.13551987165063897,0.5707491506253048,0.3379930806777928
18,layer2.0.bn2,layer2.0.conv2.weight,128,0.03431682178068984,0.13069376549271378,0.03431682178068984,0.0831295867035759,0.24008223252140592,0.16143645024086511
19,layer4.1.bn1,layer4.1.conv1.weight,512,0.02072090070714857,0.0267773602415286,0.02072090070714857,0.06663621356786344,1.085575497413228,0.22924272631547454
20,layer4.1.bn2,layer4.1.conv2.weight,512,0.017217480092072465,0.0,0.017217480092072465,0.06376704612081424,0.8340897483235783,0.24413802849743754
