rank,bn_layer,associated_parameter,channels,selected_score,normalized_domain_score,sym_kl,normalized_l2,mean_shift,log_variance_shift
1,layer1.0.bn1,layer1.0.conv1.weight,64,0.2041963510531667,1.0,0.2041963510531667,0.4391421794089956,1.2512782971282872,0.2674113388069707
2,layer1.1.bn1,layer1.1.conv1.weight,64,0.1747796896336798,0.8353835649701827,0.1747796896336798,0.3426177640742748,1.3140080118687514,0.2235271526937308
3,layer1.1.bn2,layer1.1.conv2.weight,64,0.1461390221323713,0.6751096129500358,0.1461390221323713,0.42557940618395634,0.43855188477239004,0.45789494002831616
4,layer4.0.downsample.1,layer4.0.downsample.0.weight,512,0.1419122656518797,0.6514565690632548,0.1419122656518797,0.420328427038022,0.2289533695159448,0.45522559261772644
5,layer1.0.bn2,layer1.0.conv2.weight,64,0.11664631861748338,0.5100676442922312,0.11664631861748338,0.3007993593596864,0.4690749676607324,0.37469919850149075
6,layer2.0.downsample.1,layer2.0.downsample.0.weight,128,0.10740986217140391,0.45838018354406657,0.10740986217140391,0.2546630722040767,0.23722351901999564,0.2693057234973378
7,layer3.1.bn1,layer3.1.conv1.weight,256,0.1052800210038893,0.446461534613235,0.1052800210038893,0.32794369812190594,1.2766184462626482,0.4378867847890555
8,layer4.0.bn2,layer4.0.conv2.weight,512,0.10389915555631757,0.43873417412206356,0.10389915555631757,0.35263128366043806,1.0088936066313898,0.5129652853881124
9,layer2.0.bn1,layer2.0.conv1.weight,128,0.09671745091132858,0.39854516017393393,0.09671745091132858,0.24381794187178793,1.1146702887211073,0.2787412439072798
10,layer3.1.bn2,layer3.1.conv2.weight,256,0.08906810477547839,0.35573921176135803,0.08906810477547839,0.3115973281207204,0.7090796347479852,0.49898832174781105
11,layer2.1.bn1,layer2.1.conv1.weight,128,0.08731029123069892,0.3459024394960651,0.08731029123069892,0.2623720810257042,0.7014822301649425,0.3868614024633014
12,bn1,conv1.weight,64,0.08251095981567032,0.3190452507484238,0.08251095981567032,0.2780291797569634,0.6101654060766711,0.49685576752103777
13,layer4.0.bn1,layer4.0.conv1.weight,512,0.08032618566490293,0.3068191953536272,0.08032618566490293,0.23099795769745132,0.8529241476444965,0.3390254809797292
14,layer3.0.bn2,layer3.0.conv2.weight,256,0.05900723195808943,0.18751775227903922,0.05900723195808943,0.13751206828352236,0.500917600204149,0.240127225359661
15,layer3.0.bn1,layer3.0.conv1.weight,256,0.05822535195999307,0.18314233060652818,0.05822535195999307,0.13890026261796515,0.6615005371277327,0.20068837357736868
16,layer2.0.bn2,layer2.0.conv2.weight,128,0.050612493686761593,0.1405405692626511,0.050612493686761593,0.11156016115238586,0.30350503507102744,0.1769003703082759
17,layer3.0.downsample.1,layer3.0.downsample.0.weight,256,0.04913646422581121,0.13228066837193767,0.04913646422581121,0.12822991204792686,0.11145034473699336,0.2320950719284754
18,layer2.1.bn2,layer2.1.conv2.weight,128,0.03826814857795371,0.0714612792775689,0.03826814857795371,0.10819061517024528,0.17944426757255472,0.2347266504741035
19,layer4.1.bn1,layer4.1.conv1.weight,512,0.03522509018575097,0.05443224199259206,0.03522509018575097,0.12298757279463524,1.2216916533140398,0.31889742634963525
20,layer4.1.bn2,layer4.1.conv2.weight,512,0.0254981462587389,0.0,0.0254981462587389,0.08985749271073767,1.076045119790677,0.28134739804384257
