rank,bn_layer,associated_parameter,channels,selected_score,normalized_domain_score,sym_kl,normalized_l2,mean_shift,log_variance_shift
1,layer4.0.downsample.1,layer4.0.downsample.0.weight,512,0.14105692253132845,1.0,0.14105692253132845,0.3753336104478899,0.2054764947630167,0.5082759770789628
2,layer1.0.bn1,layer1.0.conv1.weight,64,0.13227348296134211,0.9316503287420049,0.13227348296134211,0.2829994696354534,0.9781316412174498,0.3049722358189832
3,layer3.1.bn2,layer3.1.conv2.weight,256,0.11713417649554286,0.8138415123021114,0.11713417649554286,0.34887649269540416,0.8622112252168922,0.547551003249918
4,layer1.0.bn2,layer1.0.conv2.weight,64,0.09866486624806943,0.6701197648342578,0.09866486624806943,0.2668429198796445,0.3907936760287638,0.4075848018501221
5,layer4.0.bn2,layer4.0.conv2.weight,512,0.09565011145408453,0.6466599917635298,0.09565011145408453,0.28217350915311235,1.02162475301824,0.4752094150990774
6,layer1.1.bn2,layer1.1.conv2.weight,64,0.09037241627906481,0.6055908038516392,0.09037241627906481,0.23987258012531512,0.3292731717662401,0.3864245045738146
7,layer3.1.bn1,layer3.1.conv1.weight,256,0.08832814407020421,0.5896829886587245,0.08832814407020421,0.23038768001566695,1.1782207361421968,0.3850157752612032
8,layer1.1.bn1,layer1.1.conv1.weight,64,0.08778627296060783,0.5854663361833462,0.08778627296060783,0.20582806117966118,0.9149723174616247,0.2116720233796322
9,bn1,conv1.weight,64,0.08509541326462261,0.5645270020925826,0.08509541326462261,0.28098077401518784,0.7473450786625659,0.48516040902450325
10,layer2.0.downsample.1,layer2.0.downsample.0.weight,128,0.08444638235486542,0.5594764693297948,0.08444638235486542,0.1915477400437472,0.21055319465235103,0.2499431639829634
11,layer2.0.bn1,layer2.0.conv1.weight,128,0.08103036517479092,0.5328942119567737,0.08103036517479092,0.19122823647582785,1.0333158498968071,0.2792876332536117
12,layer3.0.bn1,layer3.0.conv1.weight,256,0.08096357669867574,0.5323744872692043,0.08096357669867574,0.18178034855566036,0.7740769465217233,0.23771207508901196
13,layer3.0.downsample.1,layer3.0.downsample.0.weight,256,0.07803795088430687,0.5096082849127479,0.07803795088430687,0.18136882736175353,0.14224414994345114,0.2665661051381574
14,layer4.0.bn1,layer4.0.conv1.weight,512,0.07692376748121516,0.5009380972583969,0.07692376748121516,0.20055223481456863,0.8022587843226164,0.3475550559922024
15,layer2.1.bn1,layer2.1.conv1.weight,128,0.06632779656855614,0.4184839376129804,0.06632779656855614,0.18360844407291155,0.5821513846877385,0.35277139042375916
16,layer3.0.bn2,layer3.0.conv2.weight,256,0.06404370153143912,0.40070990459720945,0.06404370153143912,0.16140071221178437,0.5343010246361923,0.22354637357108148
17,layer2.0.bn2,layer2.0.conv2.weight,128,0.04658588566405241,0.26485925452888465,0.04658588566405241,0.10622583283080217,0.2953215091317853,0.15396206592974468
18,layer2.1.bn2,layer2.1.conv2.weight,128,0.043254256486208835,0.23893367523335737,0.043254256486208835,0.10729468374915678,0.21039279714250061,0.21360744617128827
19,layer4.1.bn1,layer4.1.conv1.weight,512,0.03317624177437223,0.1605100705624663,0.03317624177437223,0.10904615031382746,1.234684386470785,0.3045148448765461
20,layer4.1.bn2,layer4.1.conv2.weight,512,0.01254950752369719,0.0,0.01254950752369719,0.04259387977519527,0.9324397017995608,0.18846339139774465
