rank,bn_layer,associated_parameter,channels,selected_score,normalized_domain_score,sym_kl,normalized_l2,mean_shift,log_variance_shift
1,layer1.0.bn1,layer1.0.conv1.weight,64,0.20217462922675677,1.0,0.20217462922675677,0.4247749763193426,1.2106697736509142,0.2841588648110419
2,layer1.1.bn1,layer1.1.conv1.weight,64,0.17801933427614106,0.8632684135907561,0.17801933427614106,0.3584521318938584,1.3451060786799203,0.23042606105418073
3,layer1.1.bn2,layer1.1.conv2.weight,64,0.16611781732141984,0.7958996111305707,0.16611781732141984,0.41899711931932143,0.4326254722552248,0.5235155112096221
4,layer1.0.bn2,layer1.0.conv2.weight,64,0.1314357144516525,0.5995807934515922,0.1314357144516525,0.31253375866373023,0.5230196159631255,0.3524940162197355
5,layer4.0.downsample.1,layer4.0.downsample.0.weight,512,0.120645282554183,0.5385013127663727,0.120645282554183,0.29562399954841456,0.20536419407866705,0.41941321102013907
6,layer2.0.downsample.1,layer2.0.downsample.0.weight,128,0.1044760680233262,0.446975112886992,0.1044760680233262,0.24744126967608726,0.22095372746352582,0.3302767491637291
7,layer3.1.bn1,layer3.1.conv1.weight,256,0.09843289596764052,0.41276760253337286,0.09843289596764052,0.27792011934689526,1.083545014163338,0.4621462766845978
8,layer2.1.bn1,layer2.1.conv1.weight,128,0.09473030233601415,0.3918089886097564,0.09473030233601415,0.2499556508600944,0.7302043823164043,0.3975700059809704
9,layer3.0.bn1,layer3.0.conv1.weight,256,0.08467442115961382,0.33488744868225395,0.08467442115961382,0.18579719378610526,0.7803775817681485,0.24793292041712306
10,layer2.0.bn1,layer2.0.conv1.weight,128,0.08290242192201858,0.3248570074325108,0.08290242192201858,0.20449033486689297,0.928673460064072,0.3364967206491611
11,layer3.1.bn2,layer3.1.conv2.weight,256,0.08222070782956487,0.32099814959081185,0.08222070782956487,0.25861704812058756,0.6231673432859917,0.4704241758426081
12,layer3.0.downsample.1,layer3.0.downsample.0.weight,256,0.07268953234001674,0.26704671791940526,0.07268953234001674,0.17530735657737895,0.13548689368639671,0.2763894540932069
13,layer3.0.bn2,layer3.0.conv2.weight,256,0.07181604405664342,0.262102317988057,0.07181604405664342,0.16218766572186716,0.5920292793267047,0.1953791243850273
14,layer4.0.bn2,layer4.0.conv2.weight,512,0.07054186422833028,0.2548897946199053,0.07054186422833028,0.22774684229397663,0.7227191823208664,0.4439410398081484
15,layer4.0.bn1,layer4.0.conv1.weight,512,0.07007063296927944,0.25222237955636023,0.07007063296927944,0.18158056161185654,0.7600769883947861,0.33049059989887425
16,layer2.1.bn2,layer2.1.conv2.weight,128,0.06956776849221458,0.2493759039559378,0.06956776849221458,0.18625465498785726,0.2268955237735361,0.3418185633569182
17,bn1,conv1.weight,64,0.05673341135068915,0.1767267387898197,0.05673341135068915,0.18667661242740682,0.4580614713551673,0.40172731813837353
18,layer2.0.bn2,layer2.0.conv2.weight,128,0.042671931538311364,0.09713141834605246,0.042671931538311364,0.10231728493826539,0.27413910431932775,0.16946048987345322
19,layer4.1.bn1,layer4.1.conv1.weight,512,0.029302252094275866,0.021452049333858556,0.029302252094275866,0.09647817337136158,1.1825306921549237,0.28398256031340535
20,layer4.1.bn2,layer4.1.conv2.weight,512,0.02551248710607793,0.0,0.02551248710607793,0.09247975841214055,0.9993776741101177,0.29162231676633216
